Decade	Digital	Non-digital	Decade	Difference
				
				
1750	0	1	1750	-1
1790	2	0	1790	2
1800	2	0	1800	2
1810	2	0	1810	2
1820	6	1	1820	5
1830	4	0	1830	4
1840	15	0	1840	15
1850	31	1	1850	30
1860	239	660	1860	-421
1870	628	1032	1870	-404
1880	1148	2639	1880	-1491
1890	1529	2841	1890	-1312
1900	3455	5520	1900	-2065
1910	6345	8272	1910	-1927
1920	6368	13828	1920	-7460
1930	6322	17516	1930	-11194
1940	4592	11083	1940	-6491
1950	7548	17642	1950	-10094
1960	10573	21887	1960	-11314
1970	13822	30246	1970	-16424
1980	20453	32595	1980	-12142
1990	21839	32144	1990	-10305
2000	31834	28484	2000	3350
2010	21119	11375	2010	9744
